time,temperature_2m_max,precipitation_sum
2026-04-09,22.4,0.0
2026-04-10,22.5,0.0
2026-04-11,22.6,0.0
2026-04-12,23.0,0.0
2026-04-13,23.1,0.0
2026-04-14,22.9,0.0
2026-04-15,22.4,0.0
